round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
4252,52,2,2,19,7,0,4,1,12.1,0.05
4253,257,0,0,18,30,0,4,1,44.2,0.05
4254,40,0,0,12,6,0,0,1,-16.9,0.05
4255,5,0,0,2,1,0,3,1,-55.0,0.05
4256,75,3,3,26,9,0,4,1,25.1,0.05
4257,16,0,0,4,2,0,3,1,-49.0,0.05
4258,300,2,2,31,20,0,9,1,58.1,0.05
4259,50,0,0,16,6,0,3,1,-25.9,0.05
4260,128,1,1,22,15,0,3,1,64.8,0.05
4261,20,0,0,11,3,0,2,1,-33.4,0.05
4262,400,1,1,21,27,0,6,0,80.9,0.05
4263,31,0,0,13,4,0,3,1,-33.1,0.05
4264,42,1,1,18,6,0,0,1,-1.6,0.05
4265,389,3,3,35,46,0,21,1,54.5,0.05
4266,216,5,0,33,23,1,7,1,59.3,0.05
4267,166,1,1,30,20,0,9,0,44.4,0.05
4268,6,0,0,2,1,0,1,1,-50.7,0.05
4269,95,1,1,20,12,0,3,1,22.5,0.05
4270,34,0,0,14,5,0,3,1,-23.6,0.05
4271,13,0,0,9,2,0,3,1,-42.3,0.05
4272,42,2,2,15,6,0,3,1,-8.8,0.05
4273,400,3,3,34,45,0,13,0,172.8,0.05
4274,75,0,0,17,7,0,1,1,-4.7,0.05
4275,79,2,2,20,9,0,2,1,11.5,0.05
4276,400,1,1,16,31,0,11,0,60.7,0.05
4277,39,1,1,19,5,0,4,1,-7.9,0.05
4278,400,9,4,20,48,1,13,0,201.5,0.05
4279,6,0,0,4,1,0,4,1,-66.0,0.05
4280,400,3,3,38,47,0,13,0,237.3,0.05
4281,13,0,0,8,2,0,3,1,-43.3,0.05
4282,13,0,0,3,2,0,3,1,-50.5,0.05
4283,52,0,0,19,7,0,2,1,-0.8,0.05
4284,44,1,1,17,5,0,1,1,-3.4,0.05
4285,400,10,5,50,38,1,10,0,205.8,0.05
4286,364,6,1,33,44,1,16,1,117.5,0.05
4287,20,0,0,7,3,0,1,1,-35.9,0.05
4288,174,2,2,34,20,0,7,1,65.4,0.05
4289,13,0,0,8,2,0,4,1,-47.7,0.05
4290,27,1,1,15,4,0,2,1,-20.0,0.05
4291,400,5,5,34,51,0,9,0,177.5,0.05
4292,183,1,1,26,17,0,7,1,33.9,0.05
4293,240,6,1,30,27,1,9,1,144.0,0.05
4294,75,1,1,20,8,0,1,0,54.1,0.05
4295,258,1,1,36,28,0,14,0,125.3,0.05
4296,400,0,0,34,51,0,5,0,174.2,0.05
4297,40,1,1,20,5,0,0,1,9.6,0.05
4298,32,0,0,14,4,0,4,1,-31.2,0.05
4299,262,0,0,31,31,0,13,1,95.9,0.05
4300,52,2,2,18,7,0,5,1,-8.8,0.05
4301,400,4,4,36,47,0,7,0,167.5,0.05
4302,15,1,1,4,2,0,0,1,-33.0,0.05
4303,134,0,0,21,13,0,2,1,18.8,0.05
4304,28,0,0,13,4,0,0,1,-20.4,0.05
4305,28,1,1,10,4,0,2,1,-22.9,0.05
4306,193,1,1,28,23,0,14,1,40.8,0.05
4307,8,0,0,6,1,0,1,1,-41.1,0.05
4308,212,0,0,15,13,0,12,1,-8.2,0.05
4309,20,0,0,8,3,0,4,1,-41.7,0.05
4310,161,2,2,16,12,0,4,1,27.9,0.05
