round,steps,score,coins,crates,bombs,kills,invalid,killed_self,reward,epsilon
1252,400,0,0,2,1,0,9,0,-39.4,0.05
1253,400,0,0,2,2,0,12,0,-37.9,0.05
1254,400,2,2,3,1,0,15,0,-33.3,0.05
1255,315,2,2,5,2,0,7,1,-66.0,0.05
1256,400,1,1,3,1,0,16,0,-50.2,0.05
1257,400,0,0,0,0,0,8,0,-52.6,0.05
1258,205,2,2,9,3,0,8,1,-45.2,0.05
1259,400,0,0,0,0,0,9,0,-46.4,0.05
1260,187,1,1,10,2,0,8,1,-60.9,0.05
1261,400,3,3,7,2,0,8,0,-8.6,0.05
1262,400,0,0,0,0,0,9,0,-27.5,0.05
1263,400,0,0,0,0,0,10,0,-48.9,0.05
1264,400,1,1,3,1,0,9,0,-13.3,0.05
1265,400,2,2,4,1,0,7,0,-17.3,0.05
1266,281,6,6,7,4,0,16,1,-54.9,0.05
1267,400,2,2,3,1,0,15,0,-40.4,0.05
1268,400,0,0,0,0,0,18,0,-72.0,0.05
1269,400,0,0,0,0,0,10,0,-49.0,0.05
1270,117,0,0,4,1,0,5,1,-73.5,0.05
1271,352,0,0,3,1,0,15,1,-121.0,0.05
1272,400,2,2,9,4,0,14,0,-22.7,0.05
1273,400,1,1,3,2,0,9,0,-12.5,0.05
1274,40,0,0,3,1,0,4,1,-67.7,0.05
1275,400,5,5,10,4,0,12,0,6.7,0.05
1276,27,0,0,3,1,0,3,1,-64.1,0.05
1277,153,0,0,3,1,0,9,1,-78.1,0.05
1278,400,1,1,2,3,0,20,0,-51.6,0.05
1279,139,0,0,1,1,0,5,1,-80.4,0.05
1280,400,2,2,3,2,0,10,0,-9.7,0.05
1281,400,2,2,3,2,0,14,0,-34.7,0.05
1282,400,2,2,6,2,0,9,0,-12.4,0.05
1283,400,2,2,5,1,0,9,0,-22.2,0.05
1284,217,1,1,7,2,0,11,1,-75.2,0.05
1285,114,2,2,7,3,0,6,1,-48.1,0.05
1286,332,2,2,6,3,0,8,1,-80.1,0.05
1287,213,0,0,4,1,0,8,1,-89.1,0.05
1288,15,0,0,3,1,0,3,1,-64.0,0.05
1289,400,4,4,8,2,0,9,0,0.3,0.05
1290,166,0,0,2,1,0,6,1,-81.3,0.05
1291,400,1,1,3,3,0,19,0,-48.8,0.05
1292,400,4,4,10,4,0,11,0,19.3,0.05
1293,230,0,0,3,1,0,9,1,-93.4,0.05
1294,400,3,3,6,3,0,11,0,-16.9,0.05
1295,148,2,2,6,3,0,8,1,-53.6,0.05
1296,400,0,0,0,0,0,11,0,-51.0,0.05
1297,400,1,1,3,1,0,8,0,-13.9,0.05
1298,151,0,0,3,1,0,5,1,-76.2,0.05
1299,226,0,0,3,1,0,7,1,-87.3,0.05
1300,400,4,4,12,6,0,9,0,25.8,0.05
1301,400,0,0,0,0,0,12,0,-35.5,0.05
1302,400,3,3,8,3,0,11,0,-8.4,0.05
1303,138,0,0,2,2,0,8,1,-73.8,0.05
1304,400,0,0,0,0,0,14,0,-60.8,0.05
1305,400,0,0,3,1,0,13,0,-31.5,0.05
1306,169,0,0,3,1,0,9,1,-91.8,0.05
1307,254,2,2,5,3,0,9,1,-64.4,0.05
1308,400,0,0,0,0,0,9,0,-47.0,0.05
1309,400,3,3,3,1,0,11,0,-23.7,0.05
1310,267,1,1,5,2,0,12,1,-83.2,0.05
1311,400,0,0,0,0,0,8,0,-44.4,0.05
